Stacja,Typ danych,Statystyka,Wartosc
354220195,USL,count,363.0
354220195,USL,mean,4.18
354220195,USL,std,4.36
354220195,USL,min,0.0
354220195,USL,25%,0.0
354220195,USL,50%,2.9
354220195,USL,75%,7.1
354220195,USL,max,14.9
354210185,USL,count,363.0
354210185,USL,mean,4.42
354210185,USL,std,4.47
354210185,USL,min,0.0
354210185,USL,25%,0.0
354210185,USL,50%,3.1
354210185,USL,75%,7.9
354210185,USL,max,15.9
353170235,USL,count,363.0
353170235,USL,mean,4.48
353170235,USL,std,4.61
353170235,USL,min,0.0
353170235,USL,25%,0.0
353170235,USL,50%,3.2
353170235,USL,75%,7.5
353170235,USL,max,15.9
